ID Code,Supplier,Fragrance Name,Base,Signal Word,CLP Data,Contains,Warning,Pictogram
4C1001,4 Candles,Air Fresh,10% NH,Warning,"H317, H411, P102, P273, P302+P352, P333+P313, P501","Linalool, Eugenol, Cinnamaldehyde)",May cause an allergic skin reaction. Toxic to aquatic life with long lasting effects.,"GHS07, GHS09"
4C1002,4 Candles,Alien,10% NH,Warning,"H317, H412, P102, P302+P352, P333+P313, P501","Benzyl salicylate, IsoE Super, Cashmeran, Ethyl linalool; Iso-E Super, Cashmeran, Ethyl linalool, Schiff base, Piperonal, Coumarin, Geranyl acetate, Geraniol, Helional, Cedrol methyl ether, Trimofix)",May cause an allergic skin reaction. Harmful to aquatic life with long lasting effects.,GHS07
4C1003,4 Candles,All1,10% NH,Warning,"H317, H411, P102, P273, P302+P352, P333+P313, P501","alpha-methyl-1,3benzodioxole-5-propionaldehyde, Iso-E Super, linalyl acetate, Eugenol, Citronellol, Coumarin, Geraniol, d-Limonene, Linalool)",May cause an allergic skin reaction. Toxic to aquatic life with long lasting effects.,"GHS07, GHS09"
4C1004,4 Candles,Aloe Vera,10% NH,Warning,"H412, P102, P501","4tert-butylcyclohexyl acetate, Benzyl benzoate, Benzyl salicylate, Citronellol, Geraniol, Linalool, alpha-Hexylcinnamaldehyde, d-Limonene",Harmful to aquatic life with long lasting effects.,
4C1005,4 Candles,Amelie Mae Style Range,10% NH,Warning,"H317, H411, P102, P273, P302+P352, P333+P313, P501","linalyl acetate, Ethyl methylphenylglycidate, geraniol, citronellol, coumarin, Benzyl benzoate)",May cause an allergic skin reaction. Toxic to aquatic life with long lasting effects.,"GHS07, GHS09"
4C1006,4 Candles,Angels,10% NH,Warning,"H412, P102, P501","linalyl acetate, Isolongifolene ketone, 3,7Dimethyl-1,6-nonadien-3-ol, 4-Methoxy-alphamethylbenzenepropanal, Linalool, Lemon oil terpenes, Coumarin, alpha-Hexylcinnamaldehyde",Harmful to aquatic life with long lasting effects.,
4C1007,4 Candles,Aniseed,10% NH,Warning,"H317, H412, P102, P302+P352, P333+P313, P501","1-(1,2,3,4,5,6,7,8-Octahydro-2,3,8,8tetramethyl-2-naphthalenyl)ethanone, trans-Anethole, Linalool, Couarin, Benzyl benzoate)",May cause an allergic skin reaction. Harmful to aquatic life with long lasting effects.,GHS07
4C1008,4 Candles,Antique Sandalwood Style Range,10% NH,,"H411, P102, P273, P501","Linalool, Patchouli oil, alpha-isomethyl ionone, beta-Ionone, Acetyl cedrane, Hexyl cinnamaldehyde, Benzyl benzoate, Cedarwood oil Texas)",Toxic to aquatic life with long lasting effects.,GHS09
4C1009,4 Candles,Apple Caress,10% NH,,"H411, H412, P102, P273, P501","Verdox, Citronellyl acetate; Verdox, Citronellyl acetate, Benzyl alcohol",Toxic to aquatic life with long lasting effects. Harmful to aquatic life with long lasting effects.,GHS09
4C1010,4 Candles,Apple Style Range,10% NH,,"H411, P102, P273, P501","2,4-Dimethyl-3cyclohexen-1-carboxaldehyde, Isocyclocitral, Benzyl alcohol, Benzyl benzoate",Toxic to aquatic life with long lasting effects.,GHS09
4C1011,4 Candles,Apricot Monoi,10% NH,,"H411, H412, P102, P273, P501","Benzyl benzoate, Linalool; Benzyl benzoate, Linalool, Coumarin, alpha-hexyl Cinnamaldehyde, Cyclamen aldehyde, Piperonal",Toxic to aquatic life with long lasting effects. Harmful to aquatic life with long lasting effects.,GHS09
4C1012,4 Candles,Apricot Style Range,10% NH,,,,,
4C1013,4 Candles,Aqua Joy,10% NH,Warning,"H317, H411, P102, P273, P302+P352, P333+P313, P501","Acetyl cedrene, alpha-methyl-1,3benzodioxole-5-propionaldehyde, Iso-E Super, 3,7-Dimethyl-1,6-nonadien-3-ol, linalyl acetate, alpha-iso-methyl ionone, Linalool)",May cause an allergic skin reaction. Toxic to aquatic life with long lasting effects.,"GHS07, GHS09"
4C1014,4 Candles,Aromatic Wood,10% NH,,,,,
4C1015,4 Candles,Asian Amber Style Range,10% NH,Warning,"H317, H412, P102, P302+P352, P333+P313, P501","beta-Pinene, cyclamen aldehyde, linalyl acetate, Methyl atrarate, Vertofix, alpha-iso-methyl ionone, Citronellol, Hydroxy citronellal, Geraniol, Eugenol, Benzyl alcohol, Benzyl benzoate, alpha-Hexylcinnamaldehyde, Linalool, Amyl cinnamal, d-Limonene)",May cause an allergic skin reaction. Harmful to aquatic life with long lasting effects.,GHS07
4C1016,4 Candles,Avobath Style Range,10% NH,Warning,"H317, P102, P302+P352, P333+P313, P501","geranyl acetate, Linalool, Geraniol)",May cause an allergic skin reaction.,GHS07
4C1017,4 Candles,Baby Blue Style Range,10% NH,Warning,"H317, H411, H412, P102, P273, P302+P352, P333+P313, P501","Benzyl benzoate, Coumarin, Geraniol, Citronellol, Guaiac wood oil) (Benzyl benzoate) WARNING Toxic to aquatic life with long lasting effects; Coumarin, Geraniol, Citronellol, Guaiac wood oil, Piperonal, Benzyl salicylate, Cedarwood oil terpenes, Methyl cinnamate, Hexyl cinnamaldehyde, alpha-iso-methyl ionone) (Benzyl benzoate, Coumarin) WARNING May cause an allergic skin reaction. Toxic to aquatic life with long lasting effects",May cause an allergic skin reaction. Toxic to aquatic life with long lasting effects. Harmful to aquatic life with long lasting effects.,"GHS07, GHS09"
4C1018,4 Candles,Baby Lotion Style Range,10% NH,,,,,
4C1019,4 Candles,Baby Powder,10% NH,Warning,"H317, H412, P102, P302+P352, P333+P313, P501","Formaldehyde cyclododecyl ethyl acetal, Linalyl acetate, Acetyl cedrene, methyl cinnamate, 4-tert-butylcyclohexyl acetate , Benzyl benzoate, Geraniol, alpha-iso-methyl ionone, dLimonene, Benzyl cinnamate, Linalool, Coumarin, Citronellol, alpha-Hexylcinnamaldehyde)",May cause an allergic skin reaction. Harmful to aquatic life with long lasting effects.,GHS07
4C1020,4 Candles,Bakewell Tart Style Range,10% NH,,"H411, P102, P273, P501","d-Limonene, methyl cyclo myrcetone, Coumarin, Linalool, Benzyl benzoate)",Toxic to aquatic life with long lasting effects.,GHS09
4C1021,4 Candles,Bamboo,10% NH,,,,,
4C1022,4 Candles,Bamboo & Cedar,10% NH,Warning,"H317, H400, H410, H411, P102, P273, P302+P352, P333+P313, P501","linalyl acetate, 4-tertButylcyclohexyl acetate, d-Limonene, Citral, Benzyl benzoate, Linalool, Coumarin, Citronellol, alpha-Hexylcinnamaldehyde)",May cause an allergic skin reaction. Very toxic to aquatic life. Very toxic to aquatic life with long lasting effects. Toxic to aquatic life with long lasting effects.,"GHS07, GHS09"
4C1023,4 Candles,Banana,10% NH,Warning,"P102, P501","piperonal, Ethyl methylphenylglycidate, Eugenol, Coumarin",,
4C1024,4 Candles,Banana Nut Bread Style Range,10% NH,,"H411, P102, P273, P501","Veratraldehyde, Cinnamaldehyde, Benzyl benzoate)",Toxic to aquatic life with long lasting effects.,GHS09
4C1025,4 Candles,Basil & Herb Style Range,10% NH,Warning,"H317, H412, P102, P302+P352, P333+P313, P501","Methyl chavicol, Hivertal, Linalool, Thymol, Geranyl acetate)",May cause an allergic skin reaction. Harmful to aquatic life with long lasting effects.,GHS07
4C1026,4 Candles,Bayberry Style Range,10% NH,Warning,"H317, H412, P102, P302+P352, P333+P313, P501","Acetyl cedrene, Cedrol methyl ether, Cinnamyl alcohol, Coumarin, Benzyl benzoate, d-Limonene, Cinnamaldehyde, Eugenol)",May cause an allergic skin reaction. Harmful to aquatic life with long lasting effects.,GHS07
4C1027,4 Candles,Belle,10% NH,,"H412, P102, P501","Linalyl acetate, Iso-E super, Linalool, Cedrol methyl ether, Trimofix, Benzyl salicylate, Lemon oil, Helional, d-Limonene",Harmful to aquatic life with long lasting effects.,
4C1028,4 Candles,Bergamot,10% NH,Warning,"H317, H411, P102, P273, P302+P352, P333+P313, P501",Citral),May cause an allergic skin reaction. Toxic to aquatic life with long lasting effects.,"GHS07, GHS09"
